nodenumber,    x-coordinate,    y-coordinate,pressure-coefficient,      x-velocity,      y-velocity
         1,-1.417398810E+00,-1.047263622E+00,-1.886918209E-02, 1.396960144E+02,-1.150403214E+01
         2,-1.143088102E+00,-1.046324253E+00,-3.580123186E-02, 1.408887024E+02,-1.115500546E+01
         3,-8.118378520E-01,-1.042814374E+00,-4.806644469E-02, 1.418397522E+02,-9.626241684E+00
         4,-1.918434501E+00,-1.039816380E+00, 3.983624338E-04, 1.384009705E+02,-1.100321293E+01
         5,-1.683795094E+00,-1.036700845E+00,-6.136712153E-03, 1.388293610E+02,-1.132743835E+01
         6,-8.367390633E-01,-1.035968184E+00,-4.852558300E-02, 1.418605499E+02,-9.779452324E+00
         7,-1.167641163E+00,-1.035714746E+00,-3.475284576E-02, 1.408084106E+02,-1.126099300E+01
         8,-1.441983819E+00,-1.033774734E+00,-1.748865284E-02, 1.395972900E+02,-1.154480743E+01
         9,-7.592310756E-02,-1.032195210E+00,-4.937370308E-03, 1.390258789E+02,-7.083508492E+00
        10,-1.011974663E-01,-1.032177448E+00,-6.772764958E-03, 1.391538696E+02,-7.068624496E+00
        11,-1.264718324E-01,-1.032159686E+00,-8.664610796E-03, 1.392853546E+02,-7.060282707E+00
        12,-1.517433822E-01,-1.032101035E+00,-1.060835645E-02, 1.394199677E+02,-7.058647156E+00
        13,-5.061618984E-02,-1.031571746E+00,-3.152491990E-03, 1.389011230E+02,-7.101801872E+00
        14,-1.769534945E-01,-1.031375051E+00,-1.259485725E-02, 1.395572052E+02,-7.061203957E+00
        15,-2.530805580E-02,-1.030913115E+00,-1.426767209E-03, 1.387802429E+02,-7.126217842E+00
        16,-2.021633089E-01,-1.030651808E+00,-1.462351903E-02, 1.396968842E+02,-7.071236610E+00
        17, 8.092813175E-08,-1.030254483E+00, 2.431599278E-04, 1.386626282E+02,-7.154232025E+00
        18, 1.000080956E-03,-1.030254483E+00, 3.070370585E-04, 1.386581116E+02,-7.155541897E+00
        19, 2.100080950E-03,-1.030254483E+00, 3.760233230E-04, 1.386531982E+02,-7.157059669E+00
        20, 3.310080850E-03,-1.030254483E+00, 4.522997187E-04, 1.386477814E+02,-7.158762455E+00
        21, 4.641080741E-03,-1.030254483E+00, 5.362544325E-04, 1.386418304E+02,-7.160652161E+00
        22, 6.105180830E-03,-1.030254483E+00, 6.285611889E-04, 1.386353149E+02,-7.162747383E+00
        23, 7.715690881E-03,-1.030254483E+00, 7.296194090E-04, 1.386281738E+02,-7.165070534E+00
        24, 9.487251751E-03,-1.030254483E+00, 8.405034896E-04, 1.386203156E+02,-7.167648315E+00
        25, 1.143596880E-02,-1.030254483E+00, 9.621017962E-04, 1.386117249E+02,-7.170511246E+00
        26, 1.357955765E-02,-1.030254483E+00, 1.095030224E-03, 1.386022949E+02,-7.173690796E+00
        27, 1.593750529E-02,-1.030254483E+00, 1.240739715E-03, 1.385919800E+02,-7.177226067E+00
        28, 1.853124797E-02,-1.030254483E+00, 1.400156063E-03, 1.385806580E+02,-7.181160927E+00
        29, 2.138436399E-02,-1.030254483E+00, 1.574714319E-03, 1.385682983E+02,-7.185543060E+00
        30, 2.452279255E-02,-1.030254483E+00, 1.765640220E-03, 1.385547638E+02,-7.190428257E+00
        31, 2.797506377E-02,-1.030254483E+00, 1.974396873E-03, 1.385399475E+02,-7.195879459E+00
        32, 3.177256137E-02,-1.030254483E+00, 2.202291274E-03, 1.385237732E+02,-7.201971054E+00
        33, 3.594981134E-02,-1.030254483E+00, 2.451008186E-03, 1.385061188E+02,-7.208783627E+00
        34, 4.054478183E-02,-1.030254483E+00, 2.721938770E-03, 1.384868622E+02,-7.216407776E+00
        35, 4.559925199E-02,-1.030254483E+00, 3.016681410E-03, 1.384658966E+02,-7.224951744E+00
        36, 5.115916952E-02,-1.030254483E+00, 3.337414470E-03, 1.384430695E+02,-7.234537125E+00
        37, 5.727507919E-02,-1.030254483E+00, 3.685838310E-03, 1.384182434E+02,-7.245299339E+00
        38, 6.400258094E-02,-1.030254483E+00, 4.063680768E-03, 1.383912964E+02,-7.257395744E+00
        39, 7.140283287E-02,-1.030254483E+00, 4.472413566E-03, 1.383621063E+02,-7.271003723E+00
        40, 7.954310626E-02,-1.030254483E+00, 4.914098419E-03, 1.383305206E+02,-7.286326408E+00
        41, 8.849740773E-02,-1.030254483E+00, 5.390402861E-03, 1.382964325E+02,-7.303593159E+00
        42, 9.834714234E-02,-1.030254483E+00, 5.902510136E-03, 1.382597198E+02,-7.323060989E+00
        43, 1.091818437E-01,-1.030254483E+00, 6.451586727E-03, 1.382202759E+02,-7.345019341E+00
        44, 1.211000234E-01,-1.030254483E+00, 7.038079668E-03, 1.381780853E+02,-7.369792461E+00
        45, 1.342100203E-01,-1.030254483E+00, 7.662417833E-03, 1.381330261E+02,-7.397739410E+00
        46, 1.486310065E-01,-1.030254483E+00, 8.324026130E-03, 1.380852203E+02,-7.429258347E+00
        47, 1.644940972E-01,-1.030254483E+00, 9.021438658E-03, 1.380346222E+02,-7.464780331E+00
        48, 1.819435060E-01,-1.030254483E+00, 9.751948528E-03, 1.379814758E+02,-7.504768372E+00
        49, 2.011378407E-01,-1.030254483E+00, 1.051123254E-02, 1.379259796E+02,-7.549713612E+00
        50, 2.222516239E-01,-1.030254483E+00, 1.129476540E-02, 1.378684845E+02,-7.600125313E+00
        51, 2.454767823E-01,-1.030254483E+00, 1.209534239E-02, 1.378094482E+02,-7.656513691E+00
        52, 2.710244358E-01,-1.030254483E+00, 1.290313061E-02, 1.377494812E+02,-7.719376087E+00
        53, 2.991268933E-01,-1.030254483E+00, 1.370668411E-02, 1.376893768E+02,-7.789162159E+00
        54, 3.300395608E-01,-1.030254483E+00, 1.449206565E-02, 1.376300812E+02,-7.866246700E+00
        55, 3.640435040E-01,-1.030254483E+00, 1.524328534E-02, 1.375726624E+02,-7.950888634E+00
        56, 4.014478624E-01,-1.030254483E+00, 1.594128273E-02, 1.375184631E+02,-8.043165207E+00
        57, 4.425926208E-01,-1.030254483E+00, 1.656614058E-02, 1.374688721E+02,-8.142930984E+00
        58, 4.878518879E-01,-1.030254483E+00, 1.709747128E-02, 1.374253235E+02,-8.249812126E+00
        59, 5.376370549E-01,-1.030254483E+00, 1.751352102E-02, 1.373893890E+02,-8.363103867E+00
        60, 5.924007893E-01,-1.030254483E+00, 1.779428869E-02, 1.373625031E+02,-8.481746674E+00
        61, 6.526408195E-01,-1.030254483E+00, 1.792200468E-02, 1.373459930E+02,-8.604358673E+00
        62, 7.189049125E-01,-1.030254483E+00, 1.788370684E-02, 1.373408813E+02,-8.729250908E+00
        63, 7.917953730E-01,-1.030254483E+00, 1.767195202E-02, 1.373478241E+02,-8.854477882E+00
        64, 8.719749451E-01,-1.030254483E+00, 1.728539914E-02, 1.373669891E+02,-8.977922440E+00
        65, 9.601724148E-01,-1.030254483E+00, 1.673055254E-02, 1.373980713E+02,-9.097436905E+00
        66,-2.273722887E-01,-1.029921174E+00,-1.668854989E-02, 1.398385620E+02,-7.089003086E+00
        67,-8.614303470E-01,-1.028727889E+00,-4.886114225E-02, 1.418726501E+02,-9.934507370E+00
        68,-2.524846494E-01,-1.028472185E+00,-1.878583804E-02, 1.399820557E+02,-7.111360550E+00
        69,-2.775981426E-01,-1.027012587E+00,-2.090813220E-02, 1.401267395E+02,-7.141922474E+00
        70,-3.027116656E-01,-1.025552869E+00,-2.304742485E-02, 1.402720795E+02,-7.180974960E+00
        71,-1.192194223E+00,-1.025105357E+00,-3.358414769E-02, 1.407201538E+02,-1.136153889E+01
        72,-3.277040124E-01,-1.023431778E+00,-2.520548925E-02, 1.404181824E+02,-7.225396156E+00
        73,-8.861215711E-01,-1.021487474E+00,-4.903215915E-02, 1.418732758E+02,-1.009126568E+01
        74,-3.526836634E-01,-1.021249533E+00,-2.736695111E-02, 1.405639954E+02,-7.278361320E+00
        75,-1.466471434E+00,-1.020183802E+00,-1.607571356E-02, 1.394967499E+02,-1.157960415E+01
        76,-1.708096623E+00,-1.020001769E+00,-4.982361104E-03, 1.387491455E+02,-1.132818699E+01
        77,-1.942195892E+00,-1.019687891E+00, 1.248141634E-03, 1.383428040E+02,-1.099048138E+01
        78,-3.776633143E-01,-1.019067287E+00,-2.952248603E-02, 1.407088013E+02,-7.340334892E+00
        79,-4.025141001E-01,-1.016322732E+00,-3.167788312E-02, 1.408530731E+02,-7.408533096E+00
