nodenumber,    x-coordinate,    y-coordinate,      x-velocity,      y-velocity
         1,-7.951662983E-01,-6.978697654E-02, 0.000000000E+00, 0.000000000E+00
         2,-7.851755387E-01,-6.976005871E-02, 0.000000000E+00, 0.000000000E+00
         3,-7.751847819E-01,-6.973314088E-02, 0.000000000E+00, 0.000000000E+00
         4,-8.051561547E-01,-6.965036180E-02, 0.000000000E+00, 0.000000000E+00
         5,-7.651961876E-01,-6.952371395E-02, 0.000000000E+00, 0.000000000E+00
         6,-8.151427431E-01,-6.936053790E-02, 0.000000000E+00, 0.000000000E+00
         7,-7.552076607E-01,-6.931093521E-02, 0.000000000E+00, 0.000000000E+00
         8,-8.251292177E-01,-6.906725626E-02, 0.000000000E+00, 0.000000000E+00
         9,-7.452198786E-01,-6.906567384E-02, 0.000000000E+00, 0.000000000E+00
        10,-7.352330278E-01,-6.878503340E-02, 0.000000000E+00, 0.000000000E+00
        11,-7.252461771E-01,-6.850439296E-02, 0.000000000E+00, 0.000000000E+00
        12,-8.351002329E-01,-6.843892309E-02, 0.000000000E+00, 0.000000000E+00
        13,-7.152617397E-01,-6.814810034E-02, 0.000000000E+00, 0.000000000E+00
        14,-8.450712515E-01,-6.781058970E-02, 0.000000000E+00, 0.000000000E+00
        15,-7.052773834E-01,-6.778952855E-02, 0.000000000E+00, 0.000000000E+00
        16,-6.952959821E-01,-6.735644340E-02, 0.000000000E+00, 0.000000000E+00
        17,-8.550298010E-01,-6.700861022E-02, 0.000000000E+00, 0.000000000E+00
        18,-6.853185531E-01,-6.683984907E-02, 0.000000000E+00, 0.000000000E+00
        19,-6.753411248E-01,-6.632325477E-02, 0.000000000E+00, 0.000000000E+00
        20,-8.649732543E-01,-6.603717753E-02, 0.000000000E+00, 0.000000000E+00
        21,-6.653636964E-01,-6.580666047E-02, 0.000000000E+00, 0.000000000E+00
        22,-6.553862681E-01,-6.529006617E-02, 0.000000000E+00, 0.000000000E+00
        23,-8.749167293E-01,-6.506574272E-02, 0.000000000E+00, 0.000000000E+00
        24,-6.454131088E-01,-6.469674540E-02, 0.000000000E+00, 0.000000000E+00
        25,-6.354454628E-01,-6.401704600E-02, 0.000000000E+00, 0.000000000E+00
        26,-8.848086942E-01,-6.366396638E-02, 0.000000000E+00, 0.000000000E+00
        27,-6.254778174E-01,-6.333734664E-02, 0.000000000E+00, 0.000000000E+00
        28,-6.155101720E-01,-6.265764728E-02, 0.000000000E+00, 0.000000000E+00
        29,-8.946996458E-01,-6.225502305E-02, 0.000000000E+00, 0.000000000E+00
        30,-6.055425267E-01,-6.197794792E-02, 0.000000000E+00, 0.000000000E+00
        31,-5.955780643E-01,-6.125308063E-02, 0.000000000E+00, 0.000000000E+00
        32,-9.045597157E-01,-6.064416696E-02, 0.000000000E+00, 0.000000000E+00
        33,-5.856178768E-01,-6.047166205E-02, 0.000000000E+00, 0.000000000E+00
        34,-5.756576895E-01,-5.969024348E-02, 0.000000000E+00, 0.000000000E+00
        35,-5.656975022E-01,-5.890882492E-02, 0.000000000E+00, 0.000000000E+00
        36,-9.143625935E-01,-5.871563968E-02, 0.000000000E+00, 0.000000000E+00
        37,-5.557373149E-01,-5.812740636E-02, 0.000000000E+00, 0.000000000E+00
        38,-5.457794739E-01,-5.731663777E-02, 0.000000000E+00, 0.000000000E+00
        39,-5.358250453E-01,-5.646499207E-02, 0.000000000E+00, 0.000000000E+00
        40,-9.240852363E-01,-5.641633101E-02, 0.000000000E+00, 0.000000000E+00
        41,-5.258706169E-01,-5.561334639E-02, 0.000000000E+00, 0.000000000E+00
        42,-5.159161885E-01,-5.476170071E-02, 0.000000000E+00, 0.000000000E+00
        43,-5.059617600E-01,-5.391005503E-02, 0.000000000E+00, 0.000000000E+00
        44,-9.336672156E-01,-5.358756598E-02, 0.000000000E+00, 0.000000000E+00
        45,-4.960102497E-01,-5.302496364E-02, 0.000000000E+00, 0.000000000E+00
        46,-4.860633055E-01,-5.208995084E-02, 0.000000000E+00, 0.000000000E+00
        47,-4.761163614E-01,-5.115493806E-02, 0.000000000E+00, 0.000000000E+00
        48,-9.431202212E-01,-5.035390651E-02, 0.000000000E+00, 0.000000000E+00
        49,-4.661694173E-01,-5.021992528E-02, 0.000000000E+00, 0.000000000E+00
        50,-4.562224732E-01,-4.928491249E-02, 0.000000000E+00, 0.000000000E+00
        51,-4.462755291E-01,-4.834989971E-02, 0.000000000E+00, 0.000000000E+00
        52,-4.363285850E-01,-4.741488693E-02, 0.000000000E+00, 0.000000000E+00
        53,-9.522402550E-01,-4.678063717E-02, 0.000000000E+00, 0.000000000E+00
        54,-4.263816409E-01,-4.647987415E-02, 0.000000000E+00, 0.000000000E+00
        55,-4.164346968E-01,-4.554486137E-02, 0.000000000E+00, 0.000000000E+00
        56,-4.064877527E-01,-4.460984859E-02, 0.000000000E+00, 0.000000000E+00
        57,-3.965444218E-01,-4.363716441E-02, 0.000000000E+00, 0.000000000E+00
        58,-9.603453155E-01,-4.309267167E-02, 0.000000000E+00, 0.000000000E+00
        59,-3.866082515E-01,-4.259386651E-02, 0.000000000E+00, 0.000000000E+00
        60,-3.766720814E-01,-4.155056864E-02, 0.000000000E+00, 0.000000000E+00
        61,-3.667359114E-01,-4.050727077E-02, 0.000000000E+00, 0.000000000E+00
        62,-3.567997413E-01,-3.946397290E-02, 0.000000000E+00, 0.000000000E+00
        63,-9.674645000E-01,-3.923936654E-02, 0.000000000E+00, 0.000000000E+00
        64,-3.468635713E-01,-3.842067503E-02, 0.000000000E+00, 0.000000000E+00
        65,-3.369274013E-01,-3.737737716E-02, 0.000000000E+00, 0.000000000E+00
        66,-3.269912312E-01,-3.633407929E-02, 0.000000000E+00, 0.000000000E+00
        67,-9.738052261E-01,-3.550387080E-02, 0.000000000E+00, 0.000000000E+00
        68,-3.170550612E-01,-3.529078143E-02, 0.000000000E+00, 0.000000000E+00
        69,-3.071188911E-01,-3.424748356E-02, 0.000000000E+00, 0.000000000E+00
